,Breed,Description,Group,Origin,Life Expectancy,Related Breeds,Temperament,Adaptability Level,Affectionate With Family,Barking Level,Coat Grooming Frequency,Good with Young Children,Coat Length,Coat Type,Drooling Level,Energy Level,Good With Other Dogs,Mental Stimulation Needs,Openness to Strangers,Playfulness Level,Shedding Level,Trainability Level,Min Height,Max Height,Min Weight,Max Weight
60,Braque Saint-Germain,"<p>The Braque St. Germain is thought to originate in France from crossing a Braque Francais and a Pointer in the 1800's. The Braque St. Germain was originally called Compiegne Pointers due to the location of the kennel that they were developed at. However, the name was changed when the kennel was relocated to the Saint Germain region.</p>",Foundation Stock Service,France,12-15 years,"Braque Francais Pyrenean, Pointer",Affectionate / Loyal / Easily Trained,3,3,2,3,5,0,[],1,3,5,3,4,3,3,4,21,24,40,58
61,Brazilian Terrier,"<p>The Brazilian Terrier is a fantastic dog, easy to care for, and a good partner with a wondeful temperament. It is a dog that fits both families and singles.</p>",Foundation Stock Service,Brazil,12-14 years,"Japanese Terrier, Parson Russell Terrier, Smooth Fox Terrier",loving / courageous / affectionate,5,5,3,1,5,0,[],1,5,3,5,1,3,3,5,12.9,15.7,22,22
62,Briard,"The Briard packs so much loyalty, love, and spirit into its ample frame that it's often described as a ""heart wrapped in fur."" The dashing good looks of these muscular Frenchmen radiate a distinct aura of Gallic romance and elegance.",Herding Group,France,12 years,"Schapendoes, Beauceron, Polish Lowland Sheepdog, Berger Picard, Pyrenean Shepherd",confident / smart / faithful,3,3,1,4,3,0,"['Wavy', 'Double']",2,3,3,3,3,3,1,3,22,27,55,100
63,Brittany,"Sportsmen on both sides of the Atlantic cherish the agile, energetic Brittany as a stylish and versatile gundog. Bright and eager at home, and tireless afield, Brittanys require a lot of exercises, preferably with their favorite humans.",Sporting Group,France,12-14 years,"French Spaniel, Welsh Springer Spaniel, Drentsche Patrijshond, Boykin Spaniel, Deutscher Wachtelhund",bright / fun-loving / upbeat,3,3,3,3,4,0,"['Wavy', 'Double']",1,5,4,4,3,4,3,5,17.5,20.5,30,40
64,Broholmer,"<p>Calm, good-natured, yet watchful and confident, the Broholmer hails from Denmark and makes a great family companion.</p>",Foundation Stock Service,Denmark,8-10 years,"Mastiff, Great Dane, Boerboel, Dogue de Bordeaux, Rottweiler",friendly / loving / watchful,3,3,1,1,3,0,['Smooth'],3,2,3,3,3,3,3,3,27.5,29.5,90,150
65,Brussels Griffon,"<p>Tipping the scales at no more than 12 pounds, this humanlike toy of complex character has enough personality for 10 ordinary dogs. A sensitive companion for discerning grownups, the Brussels Griffon is smart, devoted, and comically self-important.</p>",Toy Group,Belgium,12-15 years,"Affenpinscher, English Toy Spaniel, Pekingese, Chihuahua, Pug",alert / curious / loyal,4,4,4,3,3,0,"['Double', 'Smooth', 'Wiry']",1,3,3,3,4,4,3,4,7,10,8,10
66,Bull Terrier,"Among the most comical and mischievous citizens of dogdom, the Bull Terrier is playful and endearing, sometimes stubborn, but always devoted. These unique 'eggheads' are exuberant, muscular companions who thrive on affection and exercise.",Terrier Group,England,12-13 years,"Miniature Bull Terrier, American Staffordshire Terrier, Staffordshire Bull Terrier, Bulldog",playful / charming / mischievous,3,4,3,2,3,0,['Smooth'],1,4,1,4,4,4,3,3,21,22,50,70
67,Bulldog,"<p>Kind but courageous, friendly but dignified, the Bulldog is a thick-set, low-slung, well-muscled bruiser whose 'sourmug' face is the universal symbol of courage and tenacity. These docile, loyal companions adapt well to town or country.&nbsp;</p>",Non-Sporting Group,England,8-10 years,"Bull Terrier, French Bulldog, Bullmastiff, American Staffordshire Terrier, Staffordshire Bull Terrier",friendly / courageous / calm,3,4,2,3,3,0,['Smooth'],3,3,3,3,4,4,3,4,14,15,40,50
68,Bullmastiff,"Fearless at work, docile at home, the Bullmastiff is a large, muscular guarder who pursued and held poachers in Merry Old England'merry, we suppose, for everyone but poachers. Bullmastiffs are the result of Bulldog and Mastiff crosses.",Working Group,England,7-9 years,"Mastiff, Neapolitan Mastiff, Rottweiler, Dogue de Bordeaux, Cane Corso",loyal / affectionate / brave,3,4,1,1,3,0,['Smooth'],3,4,3,4,3,3,3,4,24,27,100,130
69,Cairn Terrier,"Cairn Terriers are happy, busy little earthdogs originally bred to fearlessly root out foxes and other small, furred prey in the rocky Scottish countryside. Curious and alert, Cairns like having a place where they can explore and dig.",Terrier Group,Scotland,13-15 years,"Skye Terrier, West Highland White Terrier, Norwich Terrier, Border Terrier, Scottish Terrier",alert / cheerful / busy,3,4,4,2,3,0,"['Double', 'Wiry']",1,3,3,3,3,4,2,3,9.5,10,13,14
70,Canaan Dog,"One of the AKC's oldest breeds, the Canaan Dog is the national dog of Israel. This quick, medium-sized pasture dog is docile with family, aloof with strangers. The ever-alert Canaan is a vocal and persistent guardian of flock and home.",Herding Group,Israel,12-15 years,"Basenji, Carolina Dog, Working Kelpie, Taiwan Dog, Portuguese Podengo",alert / vigilant / confident,3,3,5,2,3,0,"['Double', 'Smooth']",1,3,3,3,3,3,4,4,19,24,35,55
71,Cane Corso,"<p>Smart, trainable, and of noble bearing, the assertive and confident Cane Corso is a peerless protector. The Corso's lineage goes back to ancient Roman times, and the breed's name roughly translates from the Latin as 'bodyguard dog.'</p>",Working Group,Italy,9-12 years,"Presa Canario, Neapolitan Mastiff, Rottweiler, Bullmastiff, Tosa",intelligent / affectionate / majestic,3,4,3,1,3,0,['Smooth'],3,4,3,3,3,3,2,4,23.5,27.5,,
72,Cardigan Welsh Corgi,"The Cardigan Welsh Corgi is a masterpiece of the breeder's art: Every aspect of its makeup is perfectly suited to moving cattle, and yet it is so congenial and sweet-faced that it would be a cherished companion even if it never did a day's work.",Herding Group,Wales,12-15 years,"Pembroke Welsh Corgi, Lancashire Heeler, Teddy Roosevelt Terrier, Drever, Dachshund",loyal / affectionate / smart,3,4,5,2,4,0,['Double'],1,4,3,4,4,4,3,4,10.5,12.5,25,38
73,Carolina Dog,"<p>Carolina Dogs are generally shy and suspicious in nature, but once a dog accepts a human into its pack, those behaviors disappear toward that human. A sighthound of medium build, they have the general appearance of a jackal or wolf.</p>",Foundation Stock Service,United States,12-15 years,"Canaan Dog, Mountain Cur, Czechoslovakian Vlciak, Working Kelpie, Basenji",independent / loyal / reserved with strangers,3,3,3,1,3,0,['Smooth'],2,3,3,3,3,3,3,3,17.75,19.5,30,55
74,Catahoula Leopard Dog,"<p>The Catahoula Leopard Dog is a multi-purpose working dog that is well-muscled and powerful, but with a sense of agility and endurance. They are serious while working and playful at home.</p>",Foundation Stock Service,United States,10-14 years,"American Leopard Hound, Carolina Dog, Mountain Cur, Treeing Tennessee Brindle, Braque du Bourbonnais",independent / loyal / watchful,3,4,1,2,3,0,['Smooth'],2,5,3,4,3,3,3,4,22,24,50,95
75,Caucasian Shepherd Dog,"The Caucasian Shepherd dog is a serious guardian breed and should never be taken lightly. The Caucasian is bold, fearless, self-confident and fierce when a threat is present, but he is soft, devoted, kind and endearing to his family, including other family pets.",Foundation Stock Service,Georgia,10-12 years,"Tibetan Mastiff, Central Asian Shepherd Dog, Anatolian Shepherd Dog, Pyrenean Mastiff, Tornjak",fearless / bold / kind,3,3,2,3,3,0,['Double'],4,3,2,3,2,2,4,3,23,30,99,170
76,Cavalier King Charles Spaniel,"The Cavalier King Charles Spaniel wears his connection to British history in his breed's name. Cavaliers are the best of two worlds, combining the gentle attentiveness of a toy breed with the verve and athleticism of a sporting spaniel.",Toy Group,England,12-15 years,"Japanese Chin, Pug, Tibetan Spaniel, Cocker Spaniel, English Toy Spaniel",affectionate / gentle / graceful,3,5,3,2,5,0,"['Silky', 'Wavy']",2,3,5,3,4,3,2,4,12,13,13,18
77,Central Asian Shepherd Dog," The Central Asian Shepherd Dog is self-assured, balanced, quiet, proud and independent. They are very courageous and have a high working capacity, endurance and a natural instinct of territory. This breed is known for its fearlessness towards large predators.",Foundation Stock Service,Russia, years,"Caucasian Shepherd Dog, Spanish Mastiff, Pyrenean Mastiff, Tornjak, Tibetan Mastiff",independent / courageous / self-confident,4,3,3,1,3,0,['Double'],3,3,3,3,1,3,3,4,25.5,27.5,88,110
78,Cesky Terrier,"The Cesky Terrier, national dog of the Czech Republic, is a clever and adventurous playmate for kids and an eager walking buddy for the folks. They are tenacious at work, but a little more laid back and tractable than the usual terrier.",Terrier Group,Czech Republic,12-15 years,"Scottish Terrier, Sealyham Terrier, Dandie Dinmont Terrier, West Highland White Terrier, Skye Terrier",clever / adventurous / family-oriented,4,4,3,2,5,0,"['Silky', 'Wavy']",1,3,3,3,4,3,2,3,10,13,14,24
79,Chesapeake Bay Retriever,"The Chesapeake Bay Retriever, peerless duck dog of the Mid-Atlantic, is an American original who embodies the classic traits of a good retriever: loyal, upbeat, affectionate, and tireless. The Chessie is famous for his waterproof coat.",Sporting Group,United States,10-13 years,"Nova Scotia Duck Tolling Retriever, Curly-Coated Retriever, Flat-Coated Retriever, Golden Retriever, Labrador Retriever",bright / affectionate / sensitive,4,4,3,3,3,0,"['Wavy', 'Wiry']",2,4,3,4,3,3,3,5,21,26,55,80
80,Chihuahua,"The Chihuahua is a tiny dog with a huge personality. A national symbol of Mexico, these alert and amusing ""purse dogs"" stand among the oldest breeds of the Americas, with a lineage going back to the ancient kingdoms of pre-Columbian times.",Toy Group,Mexican State of Chihuahua,14-16 years,"Toy Fox Terrier, Japanese Chin, Russian Toy, Papillon",charming / graceful / sassy,4,4,5,1,1,0,['Smooth'],1,4,3,3,2,4,2,3,5,8,6,6
81,Chinese Crested,"With their spotted pink skin, spiky 'crested' hairdo, furry socks and feathery tail, you can't mistake the sweet and slender Chinese Crested for any other breed. This frolicsome, ultra-affectionate companion dog is truly a breed apart.",Toy Group,Africa/China,13-18 years,"Xoloitzcuintli, Peruvian Inca Orchid, Chihuahua, Papillon, American Hairless Terrier",alert / lively / affectionate,4,4,3,2,3,0,"['Silky', 'Hairless']",1,3,3,3,4,3,1,4,11,13,8,12
82,Chinese Shar-Pei,"This fascinating but challenging breed of ancient pedigree is steadfastly loyal to family, but standoffish with strangers. The Chinese Shar-Pei has physical characteristics that make him a one-of-a-kind companion and guardian dog.",Non-Sporting Group,China,8-12 years,"Chow Chow, Pug, Thai Ridgeback, Shiba Inu, Tibetan Mastiff",independent / loyal / calm,4,4,3,1,3,0,['Smooth'],3,3,3,3,3,3,3,3,18,20,45,60
83,Chinook,"<p>The pride of Wonalancet, New Hampshire, the Chinook is a rugged working dog and devoted family pet known for intelligence, patience, and eagerness to please. Once on the verge of extinction, the Chinook is among the scarcest AKC breeds.</p>",Working Group,United States,12-15 years,"Siberian Husky, Mastiff, Samoyed, Yakutian Laika, Alaskan Malamute",devoted / smart / patient,4,4,5,3,5,0,['Smooth'],1,3,5,3,3,3,3,4,22,26,50,90
84,Chow Chow,"The Chow Chow, an all-purpose dog of ancient China, presents the picture of a muscular, deep-chested aristocrat with an air of inscrutable timelessness. Dignified, serious-minded, and aloof, the Chow Chow is a breed of unique delights.",Non-Sporting Group,China,8-12 years,"Chinese Shar-Pei, Tibetan Mastiff, Hokkaido, Shiba Inu, Akita",dignified / bright / serious-minded,3,4,1,3,3,0,"['Double', 'Rough', 'Smooth']",3,3,2,3,2,3,3,3,17,20,45,70
85,Cirneco dell'Etna,"<p>The sleek and sinewy Cirneco dell'Etna, the ancient coursing hound of Sicily, is an athletic hunter given to quick bursts of speed. As housedogs, Cirnechi are mild, low-maintenance companions cherished for their loyal and gentle nature.</p>",Hound Group,Sicily,15-16 years,"Pharaoh Hound, Sloughi, Ibizan Hound, Azawakh, Portuguese Podengo",independent / friendly / affectionate,4,4,2,1,4,0,['Smooth'],0,3,4,4,4,4,1,4,17,20,19,28
86,Clumber Spaniel,"A dignified and mellow hunting companion of kings, the Clumber Spaniel is the largest of the AKC flushing spaniels. For those who can handle some shedding and drooling, the amiable Clumber is an amusing best friend and a gentlemanly housemate.",Sporting Group,England,10-12 years,"Sussex Spaniel, Basset Hound, English Cocker Spaniel, Field Spaniel",mellow / amusing / gentlemanly,4,4,1,2,3,0,"['Silky', 'Wavy']",4,3,3,3,4,3,3,4,17,20,55,85
87,Cocker Spaniel,"The merry and frolicsome Cocker Spaniel, with his big, dreamy eyes and impish personality, is one of the world's best-loved breeds. They were developed as hunting dogs, but Cockers gained their wide popularity as all-around companions.",Sporting Group,England,10-14 years,"English Cocker Spaniel, English Springer Spaniel, Cavalier King Charles Spaniel, Welsh Springer Spaniel, Field Spaniel",smart / happy / gentle,4,4,3,4,5,0,"['Silky', 'Double']",2,4,5,3,4,3,3,4,13.5,15.5,20,30
88,Collie,"The majestic Collie, thanks to a hundred years as a pop-culture star, is among the world's most recognizable and beloved dog breeds. The full-coated 'rough' Collie is the more familiar variety, but there is also a sleek 'smooth' Collie.",Herding Group,Scotland and Northern England,12-14 years,"Shetland Sheepdog, Border Collie, Belgian Sheepdog, Dutch Shepherd, Bearded Collie",devoted / proud / graceful,4,4,5,3,5,0,"['Rough', 'Smooth']",2,3,3,3,3,4,3,4,22,26,50,75
89,Coton de Tulear,"<p>The Coton de Tulear, 'Royal Dog of Madagascar,' is a bright, happy-go-lucky companion dog whose favorite activities include clowning, cavorting, and following their special human around the house. The Coton is small but robustly sturdy.</p>",Non-Sporting Group,Madagascar,15-19 years,"Bichon Frise, Bolognese, Havanese, Russian Tsvetnaya Bolonka, Maltese",charming / bright / happy-go-lucky,4,5,1,4,5,0,"['Wavy', 'Double']",1,3,5,3,5,4,2,4,9,11,8,15
90,Croatian Sheepdog,"<p>The Croatian Sheepdog is an agile, helpful and humble shepherd dog, self-reliant to his owner, brave and trustworthy. He is the true master of his flock, often running through the back of the herd to get to the point of intervention as soon as possible.</p>",Foundation Stock Service,Croatia,13-14 years,"Mudi, Puli, Pumi, Dutch Shepherd, Romanian Mioritic Shepherd Dog",loyal / active / alert and intelligent,2,3,3,1,3,0,"['Wavy', 'Double']",3,3,3,3,2,3,2,3,16,20,29,44
91,Curly-Coated Retriever,"The Curly-Coated Retriever, among the oldest of the retriever breeds, is a famously versatile gundog and peerless swimmer. Poised, proud, and wickedly smart, the Curly is a thinking person's retriever who will never quit before you do.",Sporting Group,England,10-12 years,"Chesapeake Bay Retriever, Flat-Coated Retriever, Labrador Retriever, Golden Retriever, Nova Scotia Duck Tolling Retriever",confident / proud / wickedly smart,4,5,3,1,5,0,"['Curly', 'Double']",1,4,3,3,3,4,2,4,23,27,60,95
92,Czechoslovakian Vlciak,"<p>Very intelligent, self-thinking, not well suited to do repetitive tasks or service type work where the dog must stay on task for long periods.</p>",Miscellaneous Class,Czechoslovakia,12-16 years,German Shepherd Dog,loyal / intelligent / active,1,5,1,1,3,0,['0'],1,5,3,5,1,1,3,1,23.5,,44,
93,Dachshund,"The famously long, low silhouette, ever-alert expression, and bold, vivacious personality of the Dachshund have made him a superstar of the canine kingdom. Dachshunds come in two sizes and in three coat types of various colors and patterns.",Hound Group,Germany,12-16 years,"Basset Hound, Drever, Swedish Vallhund, Teddy Roosevelt Terrier, Pembroke Welsh Corgi",curious / friendly / spunky,4,5,5,2,3,0,['Smooth'],2,3,4,3,4,4,2,4,5,9,11,32
94,Dalmatian,"The dignified Dalmatian, dogdom's citizen of the world, is famed for his spotted coat and unique job description. During their long history, these ""coach dogs"" have accompanied the horse-drawn rigs of nobles, gypsies, and firefighters.",Non-Sporting Group,"Dalmatia (today, Croatia)",11-13 years,"German Shorthaired Pointer, Weimaraner, Pointer, Rhodesian Ridgeback, Vizsla",dignified / outgoing / smart,4,5,3,2,3,0,['Smooth'],2,4,3,4,4,4,4,4,19,24,45,70
95,Dandie Dinmont Terrier,"The unique-looking Dandie Dinmont Terrier is a tough but dignified little exterminator. Sturdily built for the rigors of farm life, they will agreeably adapt to city living. Dandies are compact companions blessed with a big personality.",Terrier Group,English-Scottish border,12-15 years,"Glen of Imaal Terrier, Cesky Terrier, West Highland White Terrier, Skye Terrier, Sealyham Terrier",independent / proud / smart,3,4,3,3,3,0,['Double'],1,3,3,3,4,3,2,4,8,11,18,24
96,Danish-Swedish Farmdog,"Known as the Little Big Dog, the Danish-Swedish Farmdog is a companion dog that loves to work and enjoys a challenge. They are a small, compact and slightly rectangular dog, known to mature late.",Miscellaneous Class,Denmark/Sweden,11-13 years,"Beagle, Teddy Roosevelt Terrier, Jagdterrier, Parson Russell Terrier, Rat Terrier",energetic / trainable / attentive,4,5,3,1,5,0,['Smooth'],1,4,5,4,5,4,2,4,12.5,14.5,15,20
97,Deutscher Wachtelhund,"<p>The Deutscher Wachtelhund has a scenting and blood tracking ability comparable to a Bloodhound and can track 40-hour-old wounded game. On a fresh game trail, it must vocalize to inform hunters of its location. They are a versatile breed, virtually unknown to the German non-hunting public, and are only owned by hunters, gamekeepers, and professional hunters in Germany.</p>",Foundation Stock Service,Germany,12-14 years,"Brittany, German Wirehaired Pointer, Boykin Spaniel, French Spaniel",friendly / versatile / determined,3,4,3,2,5,0,"['Wavy', 'Double']",2,3,3,3,3,3,2,4,18,21,40,55
98,Doberman Pinscher,"Sleek and powerful, possessing both a magnificent physique and keen intelligence, the Doberman Pinscher is one of dogkind's noblemen. This incomparably fearless and vigilant breed stands proudly among the world's finest protection dogs.",Working Group,Germany,10-12 years,"Boxer, Rottweiler, Miniature Pinscher, Beauceron, German Pinscher",alert / loyal / fearless,4,5,3,1,5,0,['Smooth'],2,5,3,4,4,4,4,5,24,28,60,100
99,Dogo Argentino,"The Dogo Argentino is a pack-hunting dog, bred for the pursuit of big-game such as wild boar and puma, and possesses the strength, intelligence and quick responsiveness of a serious athlete. His short, plain and smooth coat is completely white, but a dark patch near the eye is permitted as long as it doesn't cover more than 10% of the head.",Working Group,Argentina,9-15 years,"Cane Corso, Presa Canario, Staffordshire Bull Terrier, Tosa, American Staffordshire Terrier",loyal / courageous / athletic,4,5,3,1,3,0,['Smooth'],3,5,3,4,4,4,4,5,24,26.5,80,100
100,Dogue de Bordeaux,"<p>The most ancient of French dog breeds, the Dogue de Bordeaux ('Mastiff of Bordeaux') was around even before France was France. These brawny fawn-coated guardians of considerable courage are famously loyal, affectionate, and protective.</p>",Working Group,France,5-8 years,"Neapolitan Mastiff, Cane Corso, Broholmer, Rottweiler, Bullmastiff",loyal / courageous / affectionate,4,5,3,1,3,0,['Smooth'],5,3,3,4,3,3,4,4,23,26,99,110
101,Drentsche Patrijshond,"<p>This breed is pronounced da'rinse-ah puh'trice-hoon. The Drentsche Patrijshond, Drent for short, is not your typical continental pointer. For starters, the Drent has a tail and is nearly four hundred years old. The Drent was built by farmers for farmers. As a farm dog, Drents had to do it all: hunt feather and fur, keep the farm clear of vermin, cart dairy to the market and much more. The breed has maintained versatility from the beginning and are highly intelligent and adaptable. As such, training must be kept lively and interesting. Drents are used in all types of hunting, agility, tracking, dog sledding, and skijoring.</p>",Foundation Stock Service,The Netherlands,11-14 years,"Nederlandse Kooikerhondje, Stabyhoun, Boykin Spaniel, Deutscher Wachtelhund",loyal / intelligent / friendly,3,3,1,3,5,0,['0'],1,3,5,5,3,3,3,5,21.5,25,55,73
102,Drever,"The Drever is robust and strong rather than elegant and speedy. They have a proud carriage, well-developed muscles and agile appearance. Affectionate, playful, and sweet, the Drever gets along well with most other breeds and is great in groups.",Foundation Stock Service,Sweden,15 years,"Swedish Vallhund, Cardigan Welsh Corgi, Dachshund, Teddy Roosevelt Terrier, Pembroke Welsh Corgi",loyal / determined / even-tempered,5,5,4,1,5,0,['Double'],2,4,5,4,4,4,3,5,12,15,35,40
103,Dutch Shepherd,"The Dutch Shepherd is a lively, athletic, alert and intelligent breed, and has retained its herding instinct for which it was originally developed. Having an independent nature, it can be slightly obstinate and have a mind of its own. Since its original duties were to keep flocks of sheep in a particular location, it is able to run all day, and that is reflected in its physique and structure.",Miscellaneous Class,The Netherlands,11-14 years,"Belgian Malinois, Belgian Tervuren, Belgian Sheepdog, Belgian Laekenois, Croatian Sheepdog",intelligent / lively / athletic,4,5,2,2,3,0,['Double'],2,5,3,5,3,4,3,5,21.5,24.5,42,75
104,English Cocker Spaniel,"<p>English Cocker Spaniel lovers often use the word 'merry' to describe their breed. Upbeat in the field and mellow at home, this compact, silky-coated bird dog is widely admired for his delightful personality and irresistible good looks.</p>",Sporting Group,England,12-14 years,"English Springer Spaniel, Cocker Spaniel, Field Spaniel, Sussex Spaniel, Welsh Springer Spaniel",energetic / merry / responsive,4,5,3,3,5,0,['Double'],2,3,5,4,4,3,3,4,15,17,26,34
105,English Foxhound,"<p>The English Foxhound is a substantial galloping hound of great stamina. His long legs are straight as a gatepost, and just as sturdy. The back is perfectly level. And the chest is very deep, 'girthing' as much as 31 inches on a hound measuring 24 inches at the shoulder, ensuring plenty of lung power for a grueling day's hunt. &nbsp;&nbsp;&nbsp;&nbsp;These pack-oriented, scent-driven hounds are gentle and sociable, but rarely seen as house pets. They can be so driven by a primal instinct for pursuit that not much else, including training, matters to them. Owning these noble creatures will require an owner who enjoys an active, social lifestyle.</p>",Hound Group,England,10-13 years,"American Foxhound, Hamiltonstovare, American English Coonhound, Beagle, Harrier",sociable / affectionate / gentle,4,5,5,1,5,0,['Double'],2,4,5,4,4,4,3,4,24,24,60,75
106,English Setter,"The English Setter is a medium-sized sporting dog of sweet temper and show-stopping good looks. It is one of the AKC's four British setters created to work on the distinctly different terrains of England, Ireland, and Scotland.",Sporting Group,England,12 years,"Irish Red and White Setter, Irish Setter, Pudelpointer, German Longhaired Pointer, Gordon Setter",friendly / mellow / merry,4,5,3,3,4,0,"['Silky', 'Double']",3,3,4,4,4,4,3,4,23,27,45,80
107,English Springer Spaniel,"The English Springer Spaniel is a sweet-faced, lovable bird dog of great energy, stamina, and brains. Sport hunters cherish the duality of working Springers: handsome, mannerly pets during the week, and trusty hunting buddies on weekends.",Sporting Group,England,12-14 years,"Welsh Springer Spaniel, English Cocker Spaniel, Clumber Spaniel, Sussex Spaniel, Field Spaniel",friendly / playful / obedient,4,5,3,2,3,0,['Double'],3,4,4,4,4,4,3,5,19,20,40,50
108,English Toy Spaniel,"<p>The merry English Toy Spaniel was bred to be the companion of kings. But ETS are spaniels first and pampered lapdogs second, and beneath the patrician exterior beats the heart of a real doggy dog-bright, loving, and willing to please.</p>",Toy Group,England,10-12 years,"Cavalier King Charles Spaniel, Japanese Chin, Chihuahua, Pekingese, Affenpinscher",intelligent / playful / gentle,4,5,2,3,5,0,"['Silky', 'Double']",2,3,5,3,3,4,3,3,9,10,8,14
109,Entlebucher Mountain Dog,"The Entlebucher Mountain Dog, tricolor 'Laughing Dog' of the Swiss Alps, is a rugged and determined mover of cattle. These spirited, energetic workers and athletes are independent problem solvers and are happiest with a job to perform.",Herding Group,Switzerland,11-13 years,"Bernese Mountain Dog, Appenzeller Sennenhund, Bavarian Mountain Scent Hound, Rottweiler, Greater Swiss Mountain Dog",loyal / smart / enthusiastic,4,5,3,1,3,0,['Smooth'],2,5,5,4,3,3,3,3,16.5,20.5,40,65
110,Estrela Mountain Dog,"<p>The Estrela Mountain Dog is not only an excellent livestock guardian, but is also known for his love of children and family. Proper socialization and training as a puppy is very important so that the dominance in the Estrela's personality does not become aggressive.</p>",Foundation Stock Service,England,10-14 years,"Leonberger, Newfoundland, Great Pyrenees, Saint Bernard, Kuvasz",alert / intelligent / brave,3,5,3,2,5,0,"['Wavy', 'Double']",4,3,3,3,2,3,3,4,24.5,29,77,132
111,Eurasier,"<p>The Eurasier is a medium-sized dog with a thick, medium-long coat that can come in a variety of colors. Confident, calm, and well-balanced, he is loyal to the entire family, but reserved towards strangers. He must live in close contact with his family, as he is not suited to be kept in kennels or tied up outside.</p>",Foundation Stock Service,Germany,12-16 years,"Keeshond, Icelandic Sheepdog, Hokkaido, Akita, Chow Chow",confident / calm / family-oriented,3,4,3,3,4,0,['Double'],2,3,3,4,2,3,3,4,19,24,40,70
112,Field Spaniel,"<p>The sweet and sensitive Field Spaniel is famously docile, but vigorous and game for anything when at play or in the field. These close cousins to Cocker Spaniels and Springer Spaniels may be small in number, but their charm is enormous.</p>",Sporting Group,England,12-13 years,"English Cocker Spaniel, English Springer Spaniel, Sussex Spaniel, Clumber Spaniel, Welsh Springer Spaniel",sweet / fun-loving / sensitive,4,5,3,2,5,0,"['Wavy', 'Smooth']",2,3,4,3,4,3,3,5,17,18,35,50
113,Finnish Lapphund,The weatherproof Finnish Lapphund is a tough and substantial reindeer herder from north of the Arctic Circle. This remarkably empathetic breed is among the friendliest of all dogs'once he's satisfied that you aren't a reindeer rustler.,Herding Group,Finland,12-15 years,"Icelandic Sheepdog, Norwegian Elkhound, Finnish Spitz, Yakutian Laika, Swedish Vallhund",alert / friendly / agile,4,5,5,2,4,0,['Double'],2,3,3,3,4,3,4,4,16,21,33,53
114,Finnish Spitz,"The lively Finnish Spitz, the flame-colored, foxy-faced breed from the 'Land of 60,000 Lakes,' is a small but fearless hunting dog whose unique style of tracking and indicating quarry has earned him the nickname the 'Barking Bird Dog.'",Non-Sporting Group,Finland,13-15 years,"Norwegian Buhund, Icelandic Sheepdog, Swedish Lapphund, Finnish Lapphund, Norwegian Elkhound",good-natured / friendly / lively,4,5,5,2,5,0,['Double'],2,5,4,4,3,3,3,3,15.5,20,20,33
115,Flat-Coated Retriever,"The Peter Pan of the Sporting Group, the forever-young Flat-Coated Retriever is a gundog of relatively recent origin. Happy, self-assured, and willing to please, a good Flat-Coat will retrieve a duck or a show ribbon with equal aplomb.",Sporting Group,England,8-10 years,"Golden Retriever, Curly-Coated Retriever, Chesapeake Bay Retriever, Nova Scotia Duck Tolling Retriever, Labrador Retriever",cheerful / optimistic / good-humored,5,5,3,2,5,0,['Smooth'],2,5,5,4,5,5,3,5,22,24.5,60,70
116,French Bulldog,"<p>The one-of-a-kind French Bulldog, with his large bat ears and even disposition, is one of the world's most popular small-dog breeds, especially among city dwellers. The Frenchie is playful, alert, adaptable, and completely irresistible.</p>",Non-Sporting Group,England,10-12 years,"Boston Terrier, Bulldog, Bull Terrier, Miniature Bull Terrier, Pug",playful / smart / adaptable,5,5,1,1,5,0,['Smooth'],3,3,4,3,5,5,3,4,11,13,28,28
117,French Spaniel," The French Spaniel is balanced, frank, gentle, calm and docile. He is an enthusiastic hunter, sociable with other dogs and an ideal companion in all circumstances. An excellent pointing dog, he also has a talent for retrieving.",Foundation Stock Service,France,10-12 years,"Field Spaniel, Boykin Spaniel, Brittany, Drentsche Patrijshond",intelligent / sociable / gentle,5,5,3,1,5,0,['Smooth'],2,4,5,5,5,4,3,5,21.5,24,50,60
118,German Longhaired Pointer,"<p>A good way to describe the German Longhaired Pointer is that, in appearance, it's Continental Europe's version of a Setter: a pointing dog with full tail and a long coat with dense guard hairs and a moderate undercoat. One noteworthy difference is the GLP's affection for swimming and, therefore, waterfowl hunting. Coat color reflects the mixture of markings similar to a German Shorthaired Pointer.</p>",Foundation Stock Service,Germany,12-14 years,"German Wirehaired Pointer, French Spaniel, German Shorthaired Pointer, Stabyhoun",versatile / calm / family-oriented,4,5,3,1,5,0,['Double'],2,4,4,4,4,4,3,5,22,28,55,80
119,German Pinscher,"<p>The sleek, no-frills German Pinscher is among Germany's oldest breeds and the prototype of other pinscher breeds. This energetic, super-intelligent dog was at first used as a rat catcher but can be trained for all types of canine work.</p>",Working Group,Germany,12-14 years,"Doberman Pinscher, Jagdterrier, Miniature Pinscher",intelligent / courageous / vivacious,3,5,3,1,3,0,['Smooth'],1,5,3,4,3,4,3,5,17,20,25,45
